ÝLÇE ADI;MAHALLE ADI;TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ
Beyþehir;ÞAMLAR;YOK
Beyþehir;ÜÇPINAR;IHLAMUR, KEKÝK, ADA ÇAYI
Beyþehir;ÜSTÜNLER;YOK
Beyþehir;ÜZÜMLÜ;YOK
Beyþehir;YAZYURDU;YOK
Beyþehir;YENÝDOÐAN;YOK
Beyþehir;YEÞÝLDAÐ;IHLAMUR, KEKÝK, ADA ÇAYI
Beyþehir;YUKARIESENCE;YOK
Beyþehir;YUNUSLAR;YOK
Beyþehir;ÇÝFTLÝK;YOK
Beyþehir;ÇÝVRÝL;YOK
Beyþehir;ÇUKURAÐIL;YOK
Bozkýr;ÇAÐLAYAN;DAÐ ÇAYI, KEKÝK
Bozkýr;HAMZALAR;YOK
Bozkýr;AKÇAPINAR;ADA ÇAYI
Bozkýr;ARMUTLU;YOK
Bozkýr;ARSLANTAÞ;YOK
Bozkýr;AYDINKIÞLA;YOK
Bozkýr;AYVALCA;YOK
Bozkýr;BAÐYURDU;YOK
Bozkýr;BAYBAÐAN;KEKÝK
Bozkýr;BOZDAM;YOK
Bozkýr;DEREÝÇÝ;KÝÞNÝÞ
Bozkýr;DEREKÖY;YOK
Bozkýr;ELMAAÐAÇ;YOK
Bozkýr;HACILAR;ÇÖREKOTU
Bozkýr;HACIYUNUSLAR;ÇÖREKOTU
Bozkýr;HARMANPINAR;YOK
Bozkýr;HÝSARLIK;YOK
Bozkýr;IÞIKLAR;YOK
Bozkýr;KARABAYIR;ÇÖREKOTU, DAÐ ÇAYI
Bozkýr;KARACAARDIÇ;YOK
Bozkýr;KARACAHÝSAR;YOK
Bozkýr;KARAYAHYA;YOK
Bozkýr;KAYACILAR;YOK
Bozkýr;KAYAPINAR;YOK
Bozkýr;KINIK;YOK
Bozkýr;KIZILÇAKIR;YOK
Bozkýr;KÝLDERE;LAVANTA, DAÐ ÇAYI, KEKÝK
Bozkýr;KOVANLIK;YOK
Bozkýr;KOZAÐAÇ;YOK
Bozkýr;KUÞÇA;YOK
Bozkýr;KÜÇÜKHÝSARLIK;NANE, ADA ÇAYI
Bozkýr;PINARCIK;YOK
Bozkýr;SARIOÐLAN;YOK
Bozkýr;SAZLI;DAÐ ÇAYI, KEKÝK
Bozkýr;SOÐUCAK;YOK
Bozkýr;SORKUN;YOK
Bozkýr;SÖÐÜT;YOK
Bozkýr;TARLABAÞI;YOK
Bozkýr;TAÞBAÞI;YOK
Bozkýr;TEPEARASI;YOK
Bozkýr;TEPELÝCE;NANE, DAÐ ÇAYI, KEKÝK
Bozkýr;ULUPINAR;YOK
Bozkýr;ÜÇPINAR;NANE, DAÐ ÇAYI, KEKÝK
Bozkýr;YALNIZCA;YOK
Bozkýr;YAZDAMI;YOK
Bozkýr;YELBEYÝ;YOK
Bozkýr;YENÝKÖY;YOK
Bozkýr;YOLÖREN;YOK
Çeltik;GÖKPINAR;ÇÖREKOTU, NANE
Çeltik;ADAKASIM;REZENE, KÝMYON
Çeltik;DOÐANYURT;ASPÝR, KÝMYON
Çeltik;KAÞÖREN;HAÞHAÞ, REZENE
Çeltik;KÜÇÜKHASAN;ASPÝR, ÇÖREKOTU, REZENE
Çeltik;TORUNLAR;YOK
Çeltik;ÝSHAKUÞAÐI;ÇÖREKOTU, REZENE, KÝMYON
Çeltik;HONAMLI;NANE
Cihanbeyli;BÖÐRÜDELÝK;ÇÖREKOTU, NANE
Cihanbeyli;YAPALI;ÇÖREKOTU, KÝMYON
Cihanbeyli;YENÝCEOBA;KÝMYON
Cihanbeyli;CUMHURÝYET;KÝMYON
Cihanbeyli;GEMECÝK;KÝMYON
Cihanbeyli;GÖKTEPE;KÝMYON
Cihanbeyli;AÐABEYLÝ;YOK
Cihanbeyli;HODOÐLU;YOK
Cihanbeyli;KAYI;KÝMYON
Cihanbeyli;KIRKIÞLA;ÇÖREKOTU
Cihanbeyli;KORKMAZLAR;ÇÖREKOTU, KÝMYON
Cihanbeyli;KÜÇÜKBEÞKAVAK;KÝMYON
Cihanbeyli;MUTLUKONAK;REZENE, KÝMYON
Cihanbeyli;SAÐLIK;ÇÖREKOTU, KÝMYON
Cihanbeyli;SIÐIRCIK;KÝMYON
Cihanbeyli;TURANLAR;KÝMYON
Cihanbeyli;TÜFEKÇÝPINAR;KÝMYON
Cihanbeyli;UZUNCAYAYLA;KÝMYON
Cihanbeyli;YÜNLÜKUYU;KÝMYON
Cihanbeyli;ZAFERÝYE;ÇÖREKOTU, KÝMYON
Cihanbeyli;GÖLYAZI;ÇÖREKOTU, KÝMYON
Cihanbeyli;GÜNYÜZÜ;YOK
Cihanbeyli;ÝNSUYU;IHLAMUR, ÇÖREKOTU
Cihanbeyli;KANDÝL;KÝMYON
Cihanbeyli;KARABAÐ;YOK
Cihanbeyli;KELHASAN;ANASON
Cihanbeyli;KUÞCA;ÇÖREKOTU, KÝMYON
Cihanbeyli;KÜTÜKUÞAÐI;YOK
Cihanbeyli;TAÞPINAR;YOK
Cihanbeyli;BEYLÝOVA;YOK
Cihanbeyli;ÇÝMEN;KÝMYON
Cihanbeyli;ÇÖL;KÝMYON
Cihanbeyli;DAMLAKUYU;YOK
Cihanbeyli;BULDUK;KÝMYON
Cihanbeyli;BÜYÜKBEÞKAVAK;YOK
Cihanbeyli;KARATEPE;ÇÖREKOTU, KÝMYON
Çumra;ARIKÖREN;ÇÖREKOTU, NANE
Çumra;DEDEMOÐLU;NANE
Çumra;TÜRKMENCAMÝLÝ;YOK
Çumra;A.B.HÜYÜÐÜ;NANE
Çumra;DÝNEK;YOK
Çumra;ÝÇERÝÇUMRA;YOK
Çumra;GÜVERCÝNLÝK;YOK
Çumra;KARKIN;YOK
Çumra;OKÇU;YOK
Çumra;YENÝSU;YOK
Çumra;APA;YOK
Çumra;ABDÝTOLU;YOK
Çumra;ADAKALE;YOK
Çumra;ALEMDAR;YOK
Çumra;APASARAYCIK;YOK
Çumra;AFÞAR;YOK
Çumra;AVDUL;YOK
Çumra;BALÇIKHÝSAR;YOK
Çumra;BEYLERCE;YOK
Çumra;B.AÞLAMA;YOK
Çumra;CÝCEK;YOK
Çumra;ÇUKURKAVAK;YOK
Çumra;DÝNLENDÝK;YOK
Çumra;DÝNEKSARAY;YOK
Çumra;DOÐANLI;YOK
Çumra;FETHÝYE;YOK
Çumra;GÖKHÜYÜK;YOK
Çumra;ERENTEPE;KEKÝK
Çumra;ÝNLÝ;YOK
Çumra;KUZUCU;KEKÝK
Çumra;KÜÇÜKKÖY;NANE
Çumra;SEÇME;YOK
Çumra;SÜRGÜÇ;YOK
Çumra;TAHTALI;DAÐ ÇAYI
Çumra;T.KARAHÜYÜK;NANE
Çumra;TAÞAÐIL;YOK
Çumra;UZUNKUYU;YOK
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;YOK
Çumra;YÖRÜKCAMÝLÝ;LAVANTA
Çumra;ÇAYBAÞI;LAVANTA, NANE, KEKÝK
Derbent;ÇÝFTLÝKÖZÜ;YOK
Derbent;DEÐÝÞ;YOK
Derbent;TEKKE;YOK
Derbent;GÜNEYKÖY;YOK
Derbent;MÜLAYÝM;DAÐ ÇAYI
Derbent;SARAYPINAR;HAÞHAÞ
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;YOK
Derbent;KARALAR;YOK
Derebucak;ÇAMLIK;DAÐ ÇAYI, KEKÝK
Derebucak;DURAK;YOK
Derebucak;GENCEK;NANE, KEKÝK, ADA ÇAYI
Derebucak;GÖYNEM;YOK
Derebucak;PINARBAÞI;YOK
Derebucak;TAÞLIPINAR;YOK
Derebucak;TEPEARASI;YOK
Derebucak;UÐURLU;NANE, KEKÝK
Doðanhisar;BAÞKÖY;YOK
Doðanhisar;YAZLICA;KEKÝK, ADA ÇAYI
Doðanhisar;AYASLAR;YOK
Doðanhisar;ÇINAROBA;ÇÖREKOTU
Doðanhisar;DEÞTÝÐÝN;YOK
Doðanhisar;FIRINLI;KATRAN, OÐUL OTU, DAÐ ÇAYI, KEKÝK, KUÞBURNU
Doðanhisar;GÜVENDÝK;YOK
Doðanhisar;ÝLYASLAR;YOK
Doðanhisar;KARAAÐA;NANE, KEKÝK
Doðanhisar;KEMER;YOK
Doðanhisar;KOÇAÞ;KÝMYON
Doðanhisar;KONAKKALE;YOK
Doðanhisar;TEKKE;YOK
Doðanhisar;UNCULAR;YOK
Doðanhisar;YAZIR;YOK
Doðanhisar;YENÝCE;YOK
Emirgazi;EKÝZLÝ;KEKÝK
Emirgazi;AKMESCÝT;KEKÝK, KÝMYON
Emirgazi;BESCÝ;YOK
Emirgazi;DEMÝRCÝ;YOK
Emirgazi;GÖLÖREN;DAÐ ÇAYI, KEKÝK
Emirgazi;IÞIKLAR;YOK
Emirgazi;KARAÖREN;YOK
Emirgazi;MEÞELÝ;KEKÝK
Emirgazi;ÖBEKTAÞ;YOK
Emirgazi;YAMAÇ;YOK
Ereðli;ZENGEN;YOK
Ereðli;ACIPINAR;YOK
Ereðli;ADABAÐ;NANE
Ereðli;AKHÜYÜK;YOK
Ereðli;ALHAN;YOK
Ereðli;AÞAÐI GÖNDELEN;YOK
Ereðli;AÞIKLAR;YOK
Ereðli;AZÝZÝYE;NANE, KÝMYON
Ereðli;BAHÇELÝ;YOK
Ereðli;BELCEAÐAÇ;YOK
Ereðli;BELKAYA;YOK
Ereðli;BEYKÖY;YOK
Ereðli;BEYÖREN;KEKÝK
Ereðli;BULGURLUK;YOK
Ereðli;BURHANÝYE;YOK
Ereðli;BÜYÜKDEDE;NANE, KEKÝK, ADA ÇAYI
Ereðli;ÇAKMAK;NANE, KEKÝK
Ereðli;ÇAYHAN;KÝMYON
Ereðli;ÇÝLLER;KÝMYON
Ereðli;ÇÝMENCÝK;YOK
Ereðli;GAYBÝ;YOK
Ereðli;GÖKÇEYAZI;NANE
Ereðli;GÖKTÖME;YOK
Ereðli;HACIMEMÝÞ;YOK
Ereðli;KAMIÞLIKUYU;YOK
Ereðli;KARABURUN;YOK
Ereðli;KARGACI;NANE, KEKÝK
Ereðli;KIZILGEDÝK;YOK
Ereðli;KUSKUNCUK;KÝMYON
Ereðli;KUTÖREN;YOK
Ereðli;KUZUKUYU;KÝMYON
Ereðli;MELÝCEK;YOK
Ereðli;ORHANÝYE;HAÞHAÞ, ÇÖREKOTU, NANE, KÝMYON
Ereðli;ÖZGÜRLER;YOK
Ereðli;PINARÖZÜ;YOK
Ereðli;SARICA;YOK
Ereðli;SARITOPALLI;NANE
Ereðli;SELVÝLÝ;ÇÖREKOTU, NANE
Ereðli;TAÞAÐIL;YOK
Ereðli;TAÞBUDAK;ÇÖREKOTU
Ereðli;TATLIKUYU;YOK
Ereðli;TÜRKMEN;YOK
Ereðli;ULUMEÞE;YOK
Ereðli;YAZLIK;ÇEMEN
Ereðli;YELLÝCE;YOK
Ereðli;YENÝKÖY;KÝMYON, SUSAM
Ereðli;YILDIZLI;YOK
Ereðli;YUKARIGÖNDELEN;ÇÖREKOTU
Ereðli;HORTU;YOK
Ereðli;ACIKUYU;NANE, KEKÝK, KÝMYON
Güneysýnýr;GÜRAÐAÇ;YOK
Güneysýnýr;AÐAÇOBA;KEKÝK, ADA ÇAYI
Güneysýnýr;ALANÖZÜ;YOK
Güneysýnýr;AVCITEPE;YOK
Güneysýnýr;AYDOÐMUÞ;ÇÖREKOTU
Güneysýnýr;HABÝLLER;KEKÝK
Güneysýnýr;KARAGÜNEY;YOK
Güneysýnýr;KAYAAÐZI;NANE, KEKÝK
Güneysýnýr;KIZILÖZ;YOK
Güneysýnýr;KURUKAVAK;YOK
Güneysýnýr;MEHMET ALÝ;ÇÖREKOTU
Güneysýnýr;ÖMEROÐLU;YOK
Güneysýnýr;ÖRENBOYALI;YOK
Güneysýnýr;SARIHACI;YOK
Hadim;AÞAÐIEÞENLER;YOK
Hadim;AÞAÐIKIZILKAYA;ÇÖREKOTU, SAFRAN
Hadim;BADEMLÝ;KATRAN, KANTARON
Hadim;BAÐBAÞI;KEKÝK, SUMAK
Hadim;BEYRELÝ;ASPÝR, IHLAMUR, ÇÖREKOTU, NANE, KUÞBURNU, PAPATYA, ADA ÇAYI, SALEP
Hadim;BOLAT;YOK
Hadim;ÇÝFTEPINAR;BÝBERÝYE, NANE, EKÝNEZYA, KEKÝK
Hadim;DEDEMLÝ;YOK
Hadim;DÜLGERLER;ÇÖREKOTU
Hadim;FAKILAR;YOK
Hadim;GAZÝLER;YOK
Hadim;GÖYNÜKKIÞLA;NANE, KEKÝK
Hadim;GÜLPINAR;KEKÝK, SUMAK, KANTARON
Hadim;ÝÐDEÖREN;NANE, KEKÝK, ADA ÇAYI
Hadim;KALINAÐIL;KANTARON, SALEP
Hadim;KAPLANLI;NANE, KEKÝK, ADA ÇAYI
Hadim;GEZLEVÝ;KEKÝK, KUÞBURNU
Hadim;KÜPLÜCE;YOK
Hadim;ODUNCU;KEKÝK, KUÞBURNU, KANTARON, SALEP
Hadim;SARNIÇ;YOK
Hadim;SELAHATTÝN;YOK
Hadim;UMURLAR;YOK
Hadim;YAÐCI;YOK
Hadim;YALINÇEVRE;KANTARON
Hadim;YELMEZ;YOK
Hadim;YENÝKONAK;KEKÝK, PAPATYA
Hadim;YUKARIEÞENLER;NANE, KEKÝK
Halkapýnar;ÝVRÝZ;YOK
Halkapýnar;BÜYÜKDOÐAN;YOK
Halkapýnar;DEDELÝ;YOK
Halkapýnar;DELÝMAHMUTLU;BÝBERÝYE, KEKÝK, KUÞBURNU, PAPATYA, REZENE, ADA ÇAYI
Halkapýnar;ESKÝHÝSAR;YOK
Halkapýnar;KARAYUSUFLU;YOK
Halkapýnar;KAYASARAY;NANE, KEKÝK, ADA ÇAYI, KANTARON
Halkapýnar;KÖRLÜ;YOK
Halkapýnar;KÜSERE;YOK
Halkapýnar;OSMANKÖSELÝ;YOK
Halkapýnar;SEYDÝFAKILI;YOK
Halkapýnar;YASSIKAYA;YOK
Halkapýnar;YAYIKLI;YOK
Halkapýnar;YEÞÝLYURT;NANE, KEKÝK, KUÞBURNU, ADA ÇAYI
Halkapýnar;ÇAKILLAR;KEKÝK, ADA ÇAYI
Hüyük;BAÞLAMIÞ;YOK
Hüyük;BUDAK;FESLEÐEN, ÇÖREKOTU, NANE, KEKÝK, KUÞBURNU, PAPATYA, REZENE
Hüyük;BURUNSUZ;YOK
Hüyük;ÇAMLICA;LAVANTA
Hüyük;ÇAVUÞ;OÐUL OTU
Hüyük;ÇUKURKENT;YOK
Hüyük;DEÐÝRMENALTI;YOK
Hüyük;GÖÇERÝ;YOK
Hüyük;GÖRÜNMEZ;YOK
Hüyük;ÝLMEN;LAVANTA
Hüyük;ÝMRENLER;KEKÝK, ADA ÇAYI
Hüyük;KIRELÝ;YOK
Hüyük;KÖÞK;HAÞHAÞ
Hüyük;MUTLU;YOK
Hüyük;PINARBAÞI;YOK
Hüyük;SELKÝ;YOK
Hüyük;SULUDERE;YOK
Hüyük;TOLCA;NANE, KEKÝK
Hüyük;YENÝCE;YOK
Ilgýn;ARGITHANI;KEKÝK
Ilgýn;BEYKONAK;KEKÝK
Ilgýn;ÇAVUÞÇUGÖL;ÇÖREKOTU
Ilgýn;AÐALAR;HAÞHAÞ
Ilgýn;BALKI;YOK
Ilgýn;BARAKMUSLU;YOK
Ilgýn;BELEKLER;HAÞHAÞ, ÇÖREKOTU
Ilgýn;BOÐAZKENT;HAÞHAÞ, ÇÖREKOTU, KÝMYON
Ilgýn;BULCUK;HAÞHAÞ
Ilgýn;BÜYÜKOBA;YOK
Ilgýn;ÇÝÐÝL;KEKÝK
Ilgýn;ÇATAK;HAÞHAÞ
Ilgýn;ÇOBANKAYA;KÝMYON
Ilgýn;ÇÖMLEKCÝ;KEKÝK, ADA ÇAYI, KÝMYON
Ilgýn;DEREKÖY;YOK
Ilgýn;DIÐRAK;YOK
Ilgýn;DÜÐER;YOK
Ilgýn;ELDEÞ;YOK
Ilgýn;GEÇÝT;YOK
Ilgýn;GEDÝKÖREN;HAÞHAÞ
Ilgýn;GÖSTERE;HAÞHAÞ
Ilgýn;GÖKÇEYURT;HAÞHAÞ
Ilgýn;GÖLYAKA;HAÞHAÞ
Ilgýn;GÖKBUDAK;HAÞHAÞ
Ilgýn;GÜNEYPINAR;HAÞHAÞ
Ilgýn;HARMANYAZI;HAÞHAÞ
Ilgýn;ÝHSANÝYE;HAÞHAÞ, KÝMYON
Ilgýn;KAPAKLI;YOK
Ilgýn;KARAKÖY;ANASON, HAÞHAÞ, ÇÖREKOTU, KÝMYON
Ilgýn;KALEKÖY;YOK
Ilgýn;MAHMUTHÝSAR;HAÞHAÞ
Ilgýn;MECÝDÝYE;HAÞHAÞ, ÇÖREKOTU
Ilgýn;MÝSAFÝRLÝ;YOK
Ilgýn;OLUKPINAR;HAÞHAÞ
Ilgýn;ORHANÝYE;YOK
Ilgýn;ORMANÖZÜ;HAÞHAÞ
Ilgýn;SADIKKÖY;HAÞHAÞ
Ilgýn;SEBÝLLER;HAÞHAÞ
Ilgýn;TEKELER;YOK
Ilgýn;YUKARIÇÝÐÝL;YOK
Ilgýn;YORAZLAR;KEKÝK, ADA ÇAYI
Ilgýn;ZAFERÝYE;HAÞHAÞ
Ilgýn;AVDAN;ANASON, KÝMYON
Kadýnhaný;OSMANCIK;YOK
Kadýnhaný;AFÞARLI;YOK
Kadýnhaný;ALABAÐ;ÇÖREKOTU, KÝMYON
Kadýnhaný;ATLANTI;YOK
Kadýnhaný;BAKIRPINAR;KEKÝK
Kadýnhaný;BAÞKUYU;KÝMYON
Kadýnhaný;BAYRAMLI;YOK
Kadýnhaný;BEYKAVAÐI;YOK
Kadýnhaný;BULGURPINAR;YOK
Kadýnhaný;ÇAVDAR;ÇÖREKOTU
Kadýnhaný;ÇEÞMECÝK;YOK
Kadýnhaný;ÇUBUK;YOK
Kadýnhaný;DEMÝROLUK;YOK
Kadýnhaný;HACIMEHMETLÝ;YOK
Kadýnhaný;HACIOFLAZLAR;YOK
Kadýnhaný;HACIPÝRLÝ;YOK
Kadýnhaný;KABACALI;YOK
Kadýnhaný;KAMIÞLIÖZÜ;YOK
Kadýnhaný;KARAHÝSARLI;YOK
Kadýnhaný;KARAKURTLU;YOK
Kadýnhaný;KARASEVÝNÇ;ÇÖREKOTU
Kadýnhaný;KARAYÜRÜKLÜ;YOK
Kadýnhaný;KIZILKUYU;YOK
Kadýnhaný;KOLUKISA;YOK
Kadýnhaný;KONURÖREN;KÝMYON
Kadýnhaný;KÖKEZ;YOK
Kadýnhaný;KÖYLÜTOLU;YOK
Kadýnhaný;KURTHASANLI;YOK
Kadýnhaný;KÜÇÜKKUYU;YOK
Kadýnhaný;MAHMUDÝYE;ANASON, ÇÖREKOTU, KÝMYON
Kadýnhaný;MEYDANLI;ÇÖREKOTU
Kadýnhaný;ÖRNEK;KÝMYON
Kadýnhaný;PÝRALÝ;ÇÖREKOTU
Kadýnhaný;PUSAT;REZENE
Kadýnhaný;SAÇIKARA;YOK
Kadýnhaný;SARIKAYA;ÇÖREKOTU
Kadýnhaný;SÖÐÜTÖZÜ;YOK
Kadýnhaný;ÞAHÖREN;YOK
Kadýnhaný;TOSUNOÐLU;YOK
Kadýnhaný;YAÐLICA;YOK
Kadýnhaný;YAYLAYAKA;ÇÖREKOTU
Karapýnar;HOTAMIÞ;YOK
Karapýnar;KESMEZ;YOK
Karapýnar;AKÇAYAZI;YOK
Karapýnar;AKÖREN;YOK
Karapýnar;ÇÝÐÝL;YOK
Karapýnar;HASANOBA;YOK
Karapýnar;ÝSLÝK;YOK
Karapýnar;KARAKIÞLA;YOK
Karapýnar;KAYACIK;YOK
Karapýnar;KAYALI;YOK
Karapýnar;KAZANHÜYÜÐÜ;YOK
Karapýnar;KÜÇÜKAÞLAMA;YOK
Karapýnar;ORTAOBA;YOK
Karapýnar;OYMALI;YOK
Karapýnar;SAZLIPINAR;YOK
Karapýnar;YAÐMAPINAR;YOK
Karapýnar;YENÝKUYU;YOK
Karapýnar;YEÞÝLYURT;YOK
Karatay;YARMA;YOK
Karatay;ACIDORT;YOK
Karatay;AÐSAKLI;YOK
Karatay;AKBAÞ;YOK
Karatay;AKÖRENKIÞLA;YOK
Karatay;BAKIRTOLU;YOK
Karatay;BAÞGÖTÜREN;YOK
Karatay;BEÞAÐIL;YOK
Karatay;BÜYÜKBURNAK;YOK
Karatay;ÇENGÝLTÝ;YOK
Karatay;DÝVANLAR;YOK
Karatay;ESENTEPE;YOK
Karatay;GÖÇÜ;YOK
Karatay;HAYIROÐLU MERKEZ;YOK
Karatay;ÝPEKLER;YOK
Karatay;ÝSMÝL;YOK
Karatay;KARADONA;YOK
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;YOK
Karatay;KIZÖREN;YOK
Karatay;KÖSEALÝ;YOK
Karatay;OBRUK;YOK
Karatay;OVAKAVAÐI;YOK
Karatay;SAKYATAN;YOK
Karatay;SÜRÜÇ;ÇÖREKOTU
Karatay;ÞATIR;YOK
Karatay;YAÐLIBAYAT;YOK
Karatay;YAVÞANKUYU;YOK
Karatay;YENÝCE;YOK
Karatay;YENÝKENT;ASPÝR
Karatay;ZÝNCÝRLÝ;YOK
Kulu;ACIKUYU;ÇÖREKOTU, KÝMYON
Kulu;AÐILBAÞI;YOK
Kulu;ALTILAR;ASPÝR, KÝMYON
Kulu;ARÞINCA;KÝMYON
Kulu;BEÞKARDEÞ;KÝMYON
Kulu;BOÐAZÖREN;KÝMYON
Kulu;BOZAN;KÝMYON
Kulu;BURUNAÐIL;KÝMYON
Kulu;CANIMANA;KÝMYON
Kulu;CELEP;KÝMYON
Kulu;DÝPDEDE;YOK
Kulu;DOÐUTEPE;ASPÝR, KÝMYON
Kulu;FEVZÝYE;ASPÝR, KÝMYON
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;KÝMYON
Kulu;HÝSAR;KÝMYON
Kulu;KARACADAÐ;ÇÖREKOTU
Kulu;KARACADERE;KÝMYON
Kulu;KIRKKUYU;KÝMYON
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;ÇÖREKOTU, KÝMYON
Kulu;KÖMÜÞÝNÝ;KÝMYON
