Ýl;Ýlçe;Mahalle/Köy;Kaynak Türü;Kurulu Güç (kWe)
Konya;Karatay;Fevziçakmak;Güneþ;78.726
Konya;Karatay;Fevziçakmak;Güneþ;48.2
Konya;Çumra;Alibeyhüyüðü;Güneþ;400
Konya;Halkapýnar;Bahçelievler;Güneþ;240
Konya;Karatay;Fevziçakmak;Güneþ;45
Konya;Karatay;Fevziçakmak;Güneþ;96
Konya;Karatay;Fevziçakmak;Güneþ;400
Konya;Seydiþehir;Alaylariki;Güneþ;580
Konya;Karatay;Fevziçakmak;Güneþ;59.8
Konya;Karatay;Tatlýcak ;Güneþ;1200
Konya;Karatay;Fevziçakmak;Güneþ;80
Konya;Karatay;Fevziçakmak;Güneþ;750
Konya;Akþehir;Yeniköy;Güneþ;400
Konya;Karatay;Fevziçakmak;Güneþ;240
Konya;Karatay;Fevziçakmak;Güneþ;220
Konya;Kadýnhaný;Ýstiklal;Güneþ;150
Konya;Selçuklu;Tömek;Güneþ;1150
Konya;Karatay;Fevziçakmak;Güneþ;378
Konya;Selçuklu;Dikilitaþ;Güneþ;75
Konya;Karatay;Fevziçakmak;Güneþ;90
Konya;Tuzlukçu;Tuzlukçu / Aþaðý;Güneþ;100
Konya;Meram;Kavak;Güneþ;150
Konya;Selçuklu;Baðrýkurt;Güneþ;400
Konya;Derbent;Camikebir;Güneþ;150
Konya;Karatay;Fevziçakmak;Güneþ;99
Konya;Karatay;Sakyatan;Güneþ;400
Konya;Meram;Hacý Þaban;Güneþ;63
Konya;Karatay;Fevziçakmak;Güneþ;240
Konya;Karatay;Fevziçakmak;Güneþ;400
Konya;Karatay;Fevziçakmak;Güneþ;85
Konya;Karatay;Fevziçakmak;Güneþ;81.6
Konya;Karatay;Fevziçakmak;Güneþ;90
Konya;Karatay;Fevziçakmak;Güneþ;90
Konya;Karatay;Zivecik;Güneþ;100
Konya;Karatay;Zivecik;Güneþ;240
Konya;Meram;Kaþýnhaný;Güneþ;150
Konya;Karatay;Fevziçakmak;Güneþ;100
Konya;Kadýnhaný;Þahören;Güneþ;600
Konya;Beyþehir;Bayafþar;Güneþ;400
Konya;Selçuklu;Dikilitaþ;Güneþ;750
Konya;Karatay;Zivecik;Güneþ;90
Konya;Karatay;Fevziçakmak;Güneþ;84
Konya;Ereðli;Ziyagökalp;Güneþ;40
Konya;Karatay;Fevziçakmak;Güneþ;99.9
Konya;Selçuklu;HOROZLUHAN ;Güneþ;100
