,İLÇE ADI,MAHALLE ADI,"ARICILIK
","BESLENEN HAYVAN TÜRLERİ
","SULAMA SUYU KAYNAĞI YÖNETİMİ
","HAYVAN BESLEMEDE KULLANILAN ÜRÜNLER
","SULANABİLİR ALANDA YETİŞTİRİLEN ÜRÜNLER
","TARIMSAL SULAMA SUYU KAYNAĞI
","İYİ TARIM UYGULAMALARI
","TARIMSAL SULAMA SUYU
","DOĞRUDAN SATIN ALINABİLECEK ÜRÜNLER
","SULAK ALAN MİKTARI
","MEŞHUR ÜRÜNLER
","EN ÇOK YETİŞTİRİLEN ÜRÜNLER
","TRAKTÖR SAYISI
","BİREYSEL ARAZİ ORTALAMASI
","ALTERNATİF YENİ ÜRÜN ÇEŞİTLERİ ÜRETİMİ
","ENDEMİK (SADECE BU BÖLGEDE YETİŞEN) BİTKİLER
","TALEP EDİLEN TARIMSAL EĞİTİMLER
","TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
"
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
","YOK
"

15,Akşehir,REİS,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, SAMAN, SİLAJLIK MISIR
","MISIR, DOMATES, BİBER, PATLICAN, PATATES
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ARPA, FASULYE
","20%
","SÜT
","BUĞDAY, ARPA
","250 Adet
","30 Dekar
","ASPİR
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","YOK
"

16,Akşehir,SAVAŞ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","YULAF, FİĞ, ARPA, SAMAN, SİLAJLIK MISIR
","KİRAZ, VİŞNE, PATATES, SARIMSAK
","YERALTI SULARI, KOOPERATİF KUYULARI
","HAYIR
","VAR
","ELMA, ŞEFTALİ, KİRAZ, VİŞNE, SARIMSAK, KAYISI
","30%
","SÜT, BAL, PEYNİR, YUMURTA
","KİRAZ, VİŞNE, SARIMSAK
","60 Adet
","20 Dekar
","YOK
","YOK
","MODERN MEYVECİLİK, HAYVANCILIK
","DAĞ ÇAYI
"

17,Akşehir,SÖĞÜTLÜ,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","ARPA, SİLAJLIK MISIR
","BUĞDAY, ARPA, ŞEKER PANCARI, HAŞHAŞ
","ŞAHSİ KUYULAR, KOOPERATİF KUYULARI
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, HAŞHAŞ, ARPA
","100%
","SÜT
","BUĞDAY, ARPA, ŞEKER PANCARI
","50 Adet
","20 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","YOK
"

18,Akşehir,TİPİKÖY,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","FİĞ, KÜSPE, ARPA, YONCA, HAZIR YEM
","MISIR, YONCA, ASPİR, HAŞHAŞ
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, ASPİR, HAŞHAŞ, ARPA, ANASON
","30%
","SÜT, PEYNİR
","BUĞDAY, ASPİR, HAŞHAŞ, ARPA, ANASON
","50 Adet
","40 Dekar
","YOK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ANASON, HAŞHAŞ
"

19,Akşehir,YENİKÖY,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ, KANATLI HAYVAN
","ŞAHSİ KUYULAR
","KÜSPE, SAMAN
","KİRAZ, VİŞNE, ÇİLEK
","KOOPERATİF KUYULARI
","HAYIR
","VAR
","DOMATES, SALATALIK, KİRAZ, ÇİLEK, VİŞNE
","80%
","SÜT, YAĞ, PEYNİR
","KİRAZ, ÇİLEK, VİŞNE
","100 Adet
","6 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
","YOK
"

20,Akşehir,SARAY,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","FİĞ, SİLAJLIK MISIR, HAZIR YEM
","KİRAZ, VİŞNE, DOMATES
","KOOPERATİF KUYULARI
","HAYIR
","VAR
","ELMA, KİRAZ, ÇİLEK, VİŞNE
","65%
","SÜT, PEYNİR
","KİRAZ, VİŞNE
","50 Adet
","9 Dekar
","YOK
","YOK
","MODERN MEYVECİLİK, HAYVANCILIK, ÇİLEK YETİŞTİRİCİLİĞİ
","YOK
"

21,Altınekin,AKCAŞAR,"HAYIR
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, ÇEREZLİK KABAK
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, AYÇİÇEĞİ
","40%
","SÜT
","MISIR, BUĞDAY, ÇEREZLİK KABAK, AYÇİÇEĞİ, ŞEKER PANCARI
","70 Adet
","90 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

22,Altınekin,AYIŞIĞI,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","ARPA, SİLAJLIK MISIR, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT, PEYNİR
","BUĞDAY, ARPA
","30 Adet
","200 Dekar
","YOK
","YOK
","HAYVANCILIK
","YOK
"

23,Altınekin,HACINUMAN,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ, FASULYE
","40%
","SÜT, YOĞURT, CANLI HAYVAN, PEYNİR
","BUĞDAY, ARPA, AYÇİÇEĞİ, FASULYE
","100 Adet
","150 Dekar
","ASPİR
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ASPİR, LAVANTA, ANASON
"

24,Altınekin,KARAKAYA,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, YULAF, ARPA, SAMAN, SİLAJLIK MISIR
","DOMATES, BİBER, PATLICAN, PATATES
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","NOHUT, BUĞDAY, ELMA, ARPA, BİBER, FASULYE, KAYISI
","5%
","CANLI HAYVAN, PEYNİR
","BUĞDAY, ELMA
","30 Adet
","50 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","IHLAMUR, ÇÖREKOTU, KEKİK
"

25,Altınekin,KOÇYAKA,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","NOHUT, BUĞDAY, ARPA, MERCİMEK, KAVUN
","10%
","CANLI HAYVAN
","MERCİMEK, NOHUT
","80 Adet
","200 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

26,Altınekin,MANTAR,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ, KANATLI HAYVAN
","SULAMA KOOPERATİFİ
","SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","BUĞDAY, ARPA, ŞEKER PANCARI
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, PATATES, NOHUT, BUĞDAY, ARPA, AYÇİÇEĞİ, FASULYE
","50%
","SÜT, YOĞURT, PEYNİR
","MISIR, BUĞDAY, AYÇİÇEĞİ, ŞEKER PANCARI
","60 Adet
","100 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

27,Altınekin,YENİÖLMEZ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ, KANATLI HAYVAN
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","BUĞDAY, ARPA, ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ, ÇEREZLİK KABAK
","90%
","CANLI HAYVAN
","BUĞDAY, ARPA, PATLICAN
","120 Adet
","75 Dekar
","SİLAJLIK MISIR, FASULYE
","YOK
","MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

28,Altınekin,SARNIÇ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, NOHUT, BUĞDAY, ARPA, AYÇİÇEĞİ, FASULYE, ÇEREZLİK KABAK
","60%
","SÜT, CANLI HAYVAN
","AYÇİÇEĞİ, ŞEKER PANCARI, FASULYE
","100 Adet
","50 Dekar
","KANOLA, ASPİR
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

29,Altınekin,YENİYAYLA,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, PATATES, BUĞDAY, FİĞ, ARPA, AYÇİÇEĞİ, FASULYE
","80%
","CANLI HAYVAN
","MISIR, BUĞDAY, DOMATES, ARPA, AYÇİÇEĞİ, FASULYE
","65 Adet
","40 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

30,Altınekin,DEDELER,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, BUĞDAY, ARPA, FASULYE
","30%
","CANLI HAYVAN, YUMURTA
","AYÇİÇEĞİ, ŞEKER PANCARI, FASULYE
","500 Adet
","250 Dekar
","SİLAJLIK MISIR, KİNOA, ÇÖREKOTU
","YOK
","TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ÇÖREKOTU
"

31,Altınekin,AKINCILAR,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, ÇEREZLİK KABAK
","70%
","SÜT
","BUĞDAY, ARPA, AYÇİÇEĞİ, ŞEKER PANCARI
","1200 Adet
","350 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, HAYVANCILIK
","YOK
"

32,Beyşehir,AKBURUN,"HAYIR
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, SAMAN
","ŞEKER PANCARI
","ŞAHSİ KUYULAR, GÖL
","HAYIR
","VAR
","ŞEKER PANCARI, NOHUT, BUĞDAY, ARPA, ÇİLEK, FASULYE
","70%
","YOĞURT, BALIK, PEYNİR
","BUĞDAY, ÇİLEK, ŞEKER PANCARI, NOHUT, FASULYE
","100 Adet
","60 Dekar
","YOK
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

33,Beyşehir,AKÇABELEN,"EVET
","KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","HAZIR YEM
","ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES
","KOOPERATİF KUYULARI
","HAYIR
","VAR
","BUĞDAY, ELMA, ARPA, ÇİLEK, FASULYE
","30%
","ŞEKER FASULYE
","BUĞDAY, ELMA, ARPA, FASULYE
","80 Adet
","50 Dekar
","ŞEKER PANCARI
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

34,Beyşehir,BAYAVŞAR,"EVET
","BÜYÜKBAŞ
","SULAMA BİRLİĞİ
","KÜSPE, SAMAN, HAZIR YEM
","ŞEKER PANCARI, DOMATES, BİBER, PATLICAN, PATATES
","ÇAY
","HAYIR
","VAR
","NOHUT, BUĞDAY, DOMATES, ARPA
","40%
","TARHANA
","BUĞDAY, ARPA
","15 Adet
","25 Dekar
","YOK
","YOK
","YOK
","YOK
"

35,Beyşehir,BAŞGÖZE,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ
","KÜSPE, ARPA, HAZIR YEM
","BUĞDAY, ARPA, YONCA, PATATES
","GÖLET
","HAYIR
","VAR
","BUĞDAY, ARPA, TURP
","20%
","CANLI HAYVAN
","BUĞDAY, ARPA, PATLICAN
","15 Adet
","40 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

36,Beyşehir,DAMLAPINAR,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ
","BUĞDAY, YULAF, FİĞ, KÜSPE, ARPA, YONCA, SİLAJLIK MISIR
","ŞEKER PANCARI, ELMA, KİRAZ, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES
","BARAJ
","HAYIR
","VAR
","PATATES, NOHUT, FASULYE
","40%
","SÜT, YOĞURT, YUMURTA
","MISIR, BUĞDAY, YONCA, YULAF, DOMATES, ARPA
","70 Adet
","45 Dekar
","KANOLA, LAVANTA
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","LAVANTA, KIZILCIK, KEKİK, KUŞBURNU
"

37,Beyşehir,DOĞANBEY,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ, KANATLI HAYVAN
","SULAMA BİRLİĞİ
","FİĞ, KÜSPE, ARPA, SAMAN
","BUĞDAY, ŞEKER PANCARI, YONCA
","BARAJ
","HAYIR
","VAR
","ŞEKER PANCARI, NOHUT, BUĞDAY, YONCA, YULAF
","40%
","CANLI HAYVAN, SUCUK
","BUĞDAY, YONCA, YULAF, ARPA, ŞEKER PANCARI, NOHUT
","150 Adet
","25 Dekar
","SİLAJLIK MISIR, FİĞ, KORUNGA
","YOK
","HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

38,Beyşehir,DUMANLI,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ
","ARPA, HAZIR YEM
","FASULYE, DOMATES, PATATES, SOĞAN
","ÇAY, AKARSU
","HAYIR
","VAR
","PATATES, BUĞDAY, DOMATES, ARPA, CEVİZ, FASULYE
","50%
","SÜT, YAĞ, YOĞURT, PEYNİR
","BUĞDAY, DOMATES, AYÇİÇEĞİ, FASULYE
","8 Adet
","20 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","IHLAMUR, KEKİK, ADA ÇAYI
"

39,Beyşehir,EĞİRLER,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, HAZIR YEM
","BUĞDAY, ARPA, YONCA
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","BUĞDAY, ARPA, CEVİZ, SOĞAN, FASULYE
","50%
","TARHANA
","BUĞDAY, ARPA
","80 Adet
","80 Dekar
","KANOLA, ASPİR
","YOK
","YOK
","YOK
"

40,Beyşehir,GÖKÇEKUYU,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
","ARPA, ÇAVDAR, HAZIR YEM
","MISIR, YONCA, FASULYE, PATATES
","GÖLET
","HAYIR
","VAR
","NOHUT, BUĞDAY, ELMA, DOMATES, ÇİLEK
","20%
","SÜT, TARHANA, YOĞURT, BULGUR, YUMURTA
","ÇİLEK, NOHUT
","30 Adet
","100 Dekar
","BEZELYE
","YOK
","MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ, ÇİLEK YETİŞTİRİCİLİĞİ
","KEKİK, ADA ÇAYI
"

41,Beyşehir,GÖLKAŞI,"EVET
","BÜYÜKBAŞ
","SULAMA KOOPERATİFİ
","KÜSPE, ARPA, HAZIR YEM
","ŞEKER PANCARI, MISIR
","GÖL
","HAYIR
","VAR
","ŞEKER PANCARI, BUĞDAY
","60%
","BALIK
","BUĞDAY, ŞEKER PANCARI, NOHUT
","54 Adet
","70 Dekar
","YOK
","YOK
","HAYVANCILIK
","YOK
"

42,Beyşehir,GÖLYAKA,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, HAZIR YEM
","ELMA, KİRAZ
